filename,label
0.png,1
1.png,0
2.png,0
3.png,0
4.png,0
5.png,0
6.png,1
7.png,1
8.png,1
9.png,1
10.png,1
11.png,0
12.png,1
13.png,0
14.png,1
15.png,0
16.png,0
17.png,1
18.png,1
19.png,0
20.png,0
21.png,0
22.png,1
23.png,0
24.png,1
25.png,1
26.png,0
27.png,0
28.png,1
29.png,0
30.png,0
31.png,0
32.png,0
33.png,1
34.png,0
35.png,0
36.png,1
37.png,0
38.png,0
39.png,0
40.png,0
41.png,0
42.png,0
43.png,0
44.png,1
45.png,0
46.png,1
47.png,1
48.png,1
49.png,1
50.png,0
51.png,0
52.png,1
53.png,1
54.png,0
55.png,0
56.png,0
57.png,0
58.png,1
59.png,0
60.png,1
61.png,1
62.png,1
63.png,1
64.png,0
65.png,1
66.png,0
67.png,1
68.png,1
69.png,0
70.png,1
71.png,1
72.png,0
73.png,0
74.png,1
75.png,0
76.png,0
77.png,0
78.png,1
79.png,0
80.png,1
81.png,1
82.png,0
83.png,0
84.png,0
85.png,1
86.png,0
87.png,0
88.png,1
89.png,1
90.png,0
91.png,1
92.png,0
93.png,1
94.png,0
95.png,1
96.png,1
97.png,0
98.png,1
99.png,0
100.png,0
101.png,1
102.png,1
103.png,1
104.png,0
105.png,0
106.png,0
107.png,1
108.png,1
109.png,1
110.png,1
111.png,1
112.png,1
113.png,1
114.png,1
115.png,1
116.png,0
117.png,0
118.png,1
119.png,1
120.png,0
121.png,0
122.png,1
123.png,0
124.png,1
125.png,0
126.png,0
127.png,1
128.png,1
129.png,1
130.png,1
131.png,1
132.png,0
133.png,1
134.png,0
135.png,1
136.png,1
137.png,1
138.png,0
139.png,1
140.png,0
141.png,0
142.png,0
143.png,0
144.png,0
145.png,0
146.png,1
147.png,0
148.png,0
149.png,0
150.png,0
151.png,0
152.png,1
153.png,1
154.png,1
155.png,1
156.png,0
157.png,1
158.png,1
159.png,1
160.png,1
161.png,1
162.png,1
163.png,0
164.png,1
165.png,0
166.png,0
167.png,1
168.png,1
169.png,1
170.png,0
171.png,0
172.png,1
173.png,1
174.png,0
175.png,1
176.png,1
177.png,1
178.png,1
179.png,0
180.png,0
181.png,0
182.png,1
183.png,1
184.png,1
185.png,0
186.png,0
187.png,1
188.png,1
189.png,0
190.png,1
191.png,0
192.png,0
193.png,0
194.png,1
195.png,0
196.png,1
197.png,0
198.png,0
199.png,1
200.png,1
201.png,1
202.png,1
203.png,0
204.png,1
205.png,0
206.png,0
207.png,1
208.png,0
209.png,1
210.png,1
211.png,0
212.png,0
213.png,1
214.png,0
215.png,1
216.png,1
217.png,0
218.png,0
219.png,0
220.png,1
221.png,0
222.png,0
223.png,0
224.png,1
225.png,0
226.png,0
227.png,1
228.png,1
229.png,1
230.png,0
231.png,0
232.png,0
233.png,0
234.png,1
235.png,0
236.png,0
237.png,1
238.png,1
